feature,mean_importance
feature_11,-0.12768500694525325
feature_22,-8.881784197001253e-17
feature_1,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_24,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_14,0.0
feature_15,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_8,0.0
feature_7,0.0
feature_6,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_13,0.0
feature_30,0.0
feature_29,0.3131441658085525
feature_2,1.4945463788448259
feature_21,1.695170473158883
feature_23,2.1949898455159285
feature_28,2.401372336027575
