feature,mean_importance
feature_17,-1.7481473756691955e-05
feature_19,-1.1240514414001534e-05
feature_16,-6.150541408433963e-06
feature_18,-2.3422377608495194e-06
feature_10,-1.059265618849614e-06
feature_20,-2.8673266008749642e-08
feature_15,5.484560494872781e-07
feature_30,4.758910024671159e-05
feature_4,7.847373327335705e-05
feature_5,9.807687653190789e-05
feature_9,0.00011383305510080377
feature_6,0.00018119244678123925
feature_8,0.00023590294047882155
feature_11,0.0004353164294889328
feature_25,0.0004496162113746038
feature_7,0.0006490517905291898
feature_28,0.001187503900997608
feature_1,0.001545691704252658
feature_29,0.0017579258080675675
feature_26,0.003498601315236699
feature_2,0.003685255188946418
feature_3,0.004555733498704359
feature_27,0.013007969298895625
feature_14,0.025045576381242395
feature_13,0.028451913898379384
feature_12,0.03543170830163748
feature_24,0.05163485505167217
feature_21,0.0786771280389144
feature_23,0.07991286522956256
feature_22,0.24357854130677495
