feature,mean_importance
feature_9,-0.002794835073281987
feature_5,-0.0018688818431618986
feature_18,-0.0018116984691780719
feature_11,-0.0017237816064646972
feature_6,-0.001523818832741397
feature_16,-0.0013062315159358628
feature_7,-0.000633364510811213
feature_13,-0.00032670978734544444
feature_15,-0.00029200310139570476
feature_12,-0.00020069476110868846
feature_10,-0.0001925537155097079
feature_1,-8.00555029523864e-05
feature_30,0.0
feature_3,0.0
feature_26,0.0001609125978517173
feature_20,0.000536781858648272
feature_17,0.0027348029197328066
feature_19,0.0028094442654949757
feature_25,0.0030157796265453036
feature_4,0.003621482369483822
feature_14,0.004363844070036818
feature_29,0.0075416635872385925
feature_24,0.013973141072383058
feature_2,0.019990721858303265
feature_23,0.025759229265033573
feature_28,0.03121472610205394
feature_27,0.03471686981826495
feature_8,0.03867222807473575
feature_21,0.04691844067793564
feature_22,0.06367589434475218
