feature,mean_importance
feature_26,-0.0068437806789833355
feature_6,-0.0021184260950785514
feature_11,-0.0019838493512286727
feature_2,-0.0010637039390098912
feature_30,-0.0004032580432760058
feature_4,-0.00027470821920227984
feature_10,-0.00020785790489292745
feature_18,-7.850477012106838e-05
feature_9,-7.613291509359077e-05
feature_19,-7.155566030799254e-05
feature_16,-6.290473048925493e-05
feature_15,9.183400313228507e-06
feature_7,0.00014217075430061898
feature_20,0.00015830099222877703
feature_5,0.000412699374808928
feature_28,0.0006103914879834249
feature_17,0.0006619208979001701
feature_8,0.0010083345723220615
feature_29,0.0012204930879001596
feature_25,0.001521777028699023
feature_3,0.0019551552596045905
feature_27,0.004695877930418646
feature_1,0.024267034353867078
feature_12,0.04262837331042982
feature_14,0.054033534712556876
feature_24,0.09919122018607493
feature_13,0.12673104300755578
feature_21,0.17107808550660508
feature_23,0.19611226766746803
feature_22,0.364691232924801
