feature,mean_importance
feature_6,-0.003579145692420982
feature_19,-0.000724541286791644
feature_16,-0.000585431794069624
feature_20,-0.00025238868814741187
feature_26,-0.00015881563850513592
feature_18,-0.0001335884312239577
feature_17,-5.8014039066525694e-05
feature_9,7.723307864526685e-06
feature_1,2.4871513813326528e-05
feature_3,0.0003349523531459758
feature_10,0.0003619183356608907
feature_4,0.0005525637086191443
feature_29,0.000672617764362593
feature_13,0.0006781990473383153
feature_12,0.0007105803744560351
feature_11,0.000895577360427427
feature_30,0.0012049168632559115
feature_15,0.001955214730905308
feature_5,0.0041974181623419815
feature_7,0.004608854524685377
feature_21,0.006306059732325156
feature_24,0.008121953343790535
feature_2,0.008396189131861955
feature_25,0.009870328858650971
feature_14,0.013038772679500038
feature_22,0.016713974420218217
feature_8,0.020076638534677668
feature_27,0.04614912947673
feature_23,0.05837747222895963
feature_28,0.07575742560209509
