feature,mean_importance
feature_6,-8.783653372317346e-05
feature_15,0.0
feature_18,0.0
feature_30,5.551115123125783e-18
feature_4,1.1102230246251566e-17
feature_25,2.18304979820394e-05
feature_16,0.0001763224502509042
feature_29,0.00019313969393081054
feature_7,0.00031106856843711727
feature_12,0.000330292886039929
feature_9,0.00034651752407264814
feature_19,0.0003623990144022204
feature_5,0.0005228994603719061
feature_10,0.0006712104490340709
feature_26,0.0008307958902386003
feature_1,0.001223614649521787
feature_13,0.0014611066394335682
feature_20,0.0017777061658080684
feature_17,0.003811585665748701
feature_3,0.004576984805175527
feature_11,0.006515254915250085
feature_2,0.006948822834367985
feature_22,0.012087127671425385
feature_27,0.01242290856889675
feature_14,0.029328416633181587
feature_23,0.04051649904906513
feature_21,0.04570579220887956
feature_24,0.0534802719875825
feature_8,0.06512479518050582
feature_28,0.0841071082895766
