feature,mean_importance
feature_26,-0.0015583086893580344
feature_1,-0.0015408407779166217
feature_13,-0.0011081030338383508
feature_3,-0.0009982750441558303
feature_11,-0.0008311260022605654
feature_14,-0.000547654258015251
feature_4,-0.00039408604845434794
feature_19,-0.00032763352232934305
feature_30,-7.928791836381287e-06
feature_9,-5.716698983376789e-06
feature_18,4.8447390572264884e-05
feature_17,0.00022453599196239348
feature_12,0.0002733232256572155
feature_6,0.00042199678755421857
feature_20,0.0004915318022912063
feature_25,0.0006202337906389855
feature_29,0.0009029002480748672
feature_7,0.0009705646505568044
feature_5,0.0010497704353395643
feature_15,0.0015743257164763213
feature_10,0.002349596538399934
feature_23,0.003562496419545458
feature_16,0.0045512483052889356
feature_27,0.004660113939289223
feature_24,0.006387807580976854
feature_8,0.01646276596527249
feature_22,0.026259837801588047
feature_2,0.03572177262176009
feature_21,0.03908801389318062
feature_28,0.07231321932661779
