feature,mean_importance
feature_28,-0.014665435884384917
feature_9,-0.006129390730440887
feature_11,-0.005504388585966113
feature_5,-0.005091463094152915
feature_7,-0.0007999422001832346
feature_20,-0.0007849163881373633
feature_13,-0.0007258100437819326
feature_18,-0.0005593961957372606
feature_15,-0.00018526258126659866
feature_30,0.0
feature_3,0.0
feature_6,0.0
feature_4,0.0
feature_25,0.0004680385590103531
feature_26,0.0006554766412510515
feature_1,0.0010275672532806812
feature_29,0.0011934432136898655
feature_17,0.0011968712119486801
feature_10,0.0012917549986950383
feature_19,0.001997560425076289
feature_12,0.004512315492051838
feature_16,0.006091570292013693
feature_2,0.007085866084763121
feature_21,0.007788998931861096
feature_14,0.00796887957551366
feature_8,0.009714786951752406
feature_27,0.023006965972402336
feature_23,0.02390872147914256
feature_24,0.03139668346630191
feature_22,0.06870942837796168
