feature,mean_importance
feature_4,-0.00576892582545657
feature_18,-0.0009021997096026136
feature_9,-0.00045192051055913395
feature_1,-0.00043993539612432184
feature_11,-0.00042664231347392946
feature_10,-0.00034095250471940787
feature_15,-0.0002426419959344922
feature_19,8.689742721907368e-05
feature_30,0.0003673404680284181
feature_12,0.0006011446956258742
feature_20,0.000995080327271447
feature_26,0.0014356534088129564
feature_5,0.0017092163305263447
feature_16,0.0018317193305670387
feature_6,0.0018458148194890444
feature_7,0.0021466577522905677
feature_13,0.0022229479535349787
feature_3,0.0023241690455224617
feature_17,0.0030700524673606677
feature_29,0.004834723336545774
feature_14,0.005777255086508062
feature_21,0.007192299119065127
feature_23,0.009727123730199324
feature_27,0.01739425113156296
feature_25,0.019263521095518425
feature_24,0.019531573129894054
feature_2,0.019539716997594447
feature_22,0.0446478927459598
feature_28,0.04912977116006948
feature_8,0.04991791180538642
