feature,mean_importance
feature_15,-0.002839392152286979
feature_26,-0.000865264382386946
feature_18,-0.0006330616315334658
feature_5,-0.00038766558802829645
feature_13,-0.00012750425463857739
feature_20,0.0
feature_11,0.0
feature_9,0.0
feature_1,0.0
feature_30,0.0
feature_7,0.0
feature_4,0.0
feature_12,3.375342087835742e-05
feature_3,4.650176225206304e-05
feature_17,0.00043350869600222995
feature_6,0.0005824313142457932
feature_19,0.0012795578314307664
feature_10,0.0015762382122727514
feature_16,0.0018600353536213005
feature_27,0.0023379926054774456
feature_25,0.0034400052422348835
feature_29,0.011284857948082674
feature_21,0.01651911289092485
feature_23,0.017008736802573636
feature_8,0.018024856973795453
feature_22,0.018224931986179634
feature_14,0.022410807877807793
feature_2,0.032586826220230125
feature_24,0.049738300207921936
feature_28,0.06072102251246786
