feature,mean_importance
feature_16,-0.006849886276871836
feature_11,-0.005622506893882347
feature_20,-0.005312319346420546
feature_14,-0.002805746483452223
feature_19,-0.002498284978366258
feature_4,-0.0007679780032995576
feature_30,-0.00046951246194166797
feature_10,-0.00040242602297843323
random_feature,-0.00034839808258831095
feature_12,-2.583958075387527e-05
feature_17,0.0005332743501427178
feature_26,0.0006797617691834095
feature_15,0.000734943050991732
feature_6,0.0008378278928867
feature_5,0.0008536747228053115
feature_3,0.0012480905410264058
feature_18,0.0021841843139536856
feature_1,0.002550611239232589
feature_9,0.003065550845529666
feature_13,0.003546332964613347
feature_7,0.004958630879714068
feature_25,0.009019008825856097
feature_29,0.011258143253679274
feature_2,0.012581903306205159
feature_23,0.01782470240855204
feature_28,0.02220725398840279
feature_21,0.027352202056435054
feature_27,0.03283475334097909
feature_24,0.033688062513678695
feature_22,0.03533584582285495
feature_8,0.09855034148466915
