feature,mean_importance
feature_5,-0.005858914646565866
feature_8,-0.0038679145039686113
feature_2,-0.0035318784798321567
feature_3,-0.0018796750921747708
feature_9,-0.0010897051653626533
feature_13,-0.0009336310529061587
feature_10,-0.0008237707189647725
feature_4,-0.0006432831006993822
feature_7,-0.0006304845487846711
feature_11,-0.0005403928125121138
feature_15,-5.18447859357285e-05
feature_30,9.49590318359117e-05
feature_1,0.0003731799252015888
feature_29,0.0003778890096926557
feature_6,0.0005333787391787858
feature_19,0.0005510035942793313
feature_20,0.000682361524728442
feature_18,0.000722297923177212
feature_25,0.0009412417291000064
feature_26,0.0013235945839594643
feature_12,0.0019292853565899936
feature_17,0.0030981081489956375
feature_16,0.004611678507566569
feature_14,0.006205646210907389
feature_24,0.0119962426974079
feature_23,0.015195901545940763
feature_21,0.022604592156751185
feature_28,0.022961988688359986
feature_27,0.031781843346846445
feature_22,0.036546240874283854
