feature,mean_importance
feature_9,-0.0003766103574363827
feature_20,-0.00013105724219610593
feature_3,-4.626288087034025e-05
feature_15,2.2204460492503132e-17
feature_18,2.4980018054066023e-17
feature_5,2.7755575615628914e-17
feature_30,3.3306690738754695e-17
feature_6,3.3306690738754695e-17
feature_1,4.163336342344337e-17
feature_16,4.163336342344337e-17
feature_29,4.163336342344337e-17
feature_10,4.4408920985006264e-17
feature_12,0.000272409440782681
feature_13,0.0010201694528877369
feature_25,0.001199167224921935
feature_19,0.001344310615768851
feature_26,0.0016033342589565984
feature_17,0.002941551576987253
feature_7,0.0036830667356431562
feature_4,0.006410977482879471
feature_22,0.009038133215296368
feature_27,0.014697491081547326
feature_2,0.017093918368378962
feature_11,0.020151161487445994
feature_21,0.023496533346323328
feature_23,0.033311812827294805
feature_14,0.038821035482115955
feature_8,0.05276155001157033
feature_28,0.12478089290573643
feature_24,0.1341848812615997
