feature,mean_importance
feature_3,-0.005358182108454471
feature_10,-0.004863405368590546
feature_7,-0.00401457738623814
feature_30,-0.0031469101747171034
feature_9,-0.0010481691566597714
feature_12,-0.0006627772911786553
feature_5,0.0002157420241243463
feature_25,0.0003320201543230136
feature_13,0.0004611566726212199
feature_29,0.0007350572556529738
feature_11,0.0007943346551088401
feature_15,0.0019124143131517405
feature_6,0.0026377973275129767
feature_17,0.002857495094118549
feature_4,0.0037500276047432767
feature_20,0.003810654987103296
feature_18,0.00413670785044591
feature_26,0.004523002651332463
feature_1,0.004577470312007682
feature_14,0.005795280514670849
feature_16,0.00796643635967197
feature_19,0.010685090550779344
feature_23,0.011155886280627502
feature_27,0.013396063147246756
feature_21,0.01361390678238758
feature_28,0.015334885170830115
feature_2,0.023292664502730542
feature_8,0.03734636010995348
feature_24,0.03990769233017015
feature_22,0.053089628763301346
