feature,mean_importance
feature_5,-0.009864620323698264
feature_15,-0.008718572549118415
feature_8,-0.008056010262722069
feature_19,-0.0026022611838250583
feature_1,-0.0024295941808229445
feature_25,-0.0020427727219611835
feature_18,-0.001795696208645939
feature_7,-0.0015020803124800668
feature_26,-0.0009691382885475913
feature_12,-0.0007365611974075092
feature_13,-5.369560292070863e-05
feature_3,2.2502971781132586e-05
feature_30,3.0227944343597102e-05
feature_4,4.908240660921048e-05
feature_10,8.160782308646031e-05
feature_17,0.0001363326883666055
feature_11,0.00021577369782075083
feature_9,0.00048719950024800617
feature_20,0.0006592980116209401
feature_23,0.002931902417674051
feature_6,0.004312954957426859
feature_16,0.008736788055834494
feature_27,0.010050150634103583
feature_21,0.010691560193193015
feature_14,0.01118569483558236
feature_29,0.015520664817439581
feature_2,0.029229169959567137
feature_22,0.03280951987627559
feature_28,0.03301252914345001
feature_24,0.05449803498998056
