feature,mean_importance
feature_26,-0.0002810860770892508
feature_6,-7.679847952394778e-05
feature_3,-5.579621433515758e-05
feature_17,0.00030447596600585367
feature_5,0.00034819003250072326
feature_9,0.0006486511287577088
feature_7,0.0007101926753265812
feature_12,0.0007915033430777943
feature_10,0.0009026635023571615
feature_11,0.0010126587577563753
feature_30,0.001117244829246776
feature_13,0.001316962235469573
feature_14,0.0019344476920681586
feature_15,0.0019643700100960013
feature_16,0.002322206978502277
feature_25,0.0024690625714074814
feature_18,0.00250132560268543
feature_19,0.002910345753847721
feature_1,0.002947945366048236
feature_29,0.004828685690979533
feature_20,0.005144167444620233
feature_4,0.0074140473749296915
feature_27,0.00803577034066653
feature_21,0.011288273746442206
feature_23,0.015003785676647069
feature_2,0.01593818200517287
feature_28,0.021344923021566202
feature_8,0.03195383602069384
feature_24,0.0354293715625424
feature_22,0.041227155270471466
