feature,mean_importance
feature_30,0.0
feature_25,0.0
feature_5,0.0
feature_6,0.0
feature_17,0.0
feature_16,0.0
feature_29,0.0
feature_26,2.7755575615628915e-18
feature_19,3.3306690738754695e-17
feature_18,4.4408920985006264e-17
feature_9,0.0002659620213518538
feature_13,0.0014995343054817368
feature_12,0.001674391254655691
feature_15,0.002175518468366752
feature_10,0.002274308724305338
feature_3,0.0029606144725796424
feature_1,0.005161877453194424
feature_7,0.005642837420605529
feature_20,0.006880532668127742
feature_2,0.007433518037010811
feature_4,0.010474091694197024
feature_11,0.014099783879094229
feature_22,0.01826398146358914
feature_8,0.03514243881013786
feature_21,0.03518323002183803
feature_23,0.04438927985743495
feature_14,0.04848165249253534
feature_27,0.04863084913486201
feature_28,0.12990399394718338
feature_24,0.13181383963087936
