feature,mean_importance
feature_18,-0.006211432285433097
feature_4,-0.002273496357033708
feature_5,-0.0021142526218624696
feature_11,-0.0007699621439473836
feature_26,-0.0006830447993064926
feature_7,-0.0005020196358997781
feature_12,-0.00045449802940382975
feature_23,-0.000346062956723181
feature_30,-0.00027929918332949557
feature_20,0.0
feature_13,0.0
feature_1,0.0
feature_9,0.0
feature_3,0.0
feature_15,0.0
feature_6,0.0003068697527249892
feature_10,0.0010299454398653234
feature_25,0.0020588650793646303
feature_27,0.002599430271162326
feature_19,0.003844261600611046
feature_17,0.00384523170539004
feature_14,0.004599944722707963
feature_16,0.009357798487797945
feature_29,0.01024855868620278
feature_24,0.010748425271377851
feature_21,0.012188741478965292
feature_8,0.021017612273553803
feature_28,0.027814991242137155
feature_2,0.035033542572487655
feature_22,0.039247990850457506
